resume_text,label
"Supply chain logistics inventory procurement warehouse operations transportation",REJECT
"Banking loan processing customer service financial products branch operations",REJECT
"Restaurant management food preparation hospitality inventory customer service",REJECT
"Film production video editing cinematography script writing production management",REJECT
"Real estate property sales leasing client management property valuation",REJECT
"Interior design space planning furniture selection AutoCAD materials decoration",REJECT
"Chemical engineering process design plant operations chemical safety laboratory",REJECT
"Agriculture crop production soil science irrigation farm management agronomy",REJECT
"Fitness trainer exercise planning nutrition coaching gym management personal training",REJECT
"Travel tourism itinerary planning ticketing hotel booking customer service",REJECT
"Insurance claims processing policy administration underwriting customer service",REJECT
"Event management wedding planning vendor coordination budgeting hospitality",REJECT
"Journalism news reporting interviewing editing media writing newspaper production",REJECT
"Fashion merchandising retail sales apparel buying inventory visual merchandising",REJECT
"Graphic artist illustration Photoshop Illustrator logo design creative branding",REJECT
"Accounting audit tax GST payroll bookkeeping Excel financial statements",REJECT
"Recruitment HR sourcing interviews onboarding payroll employee engagement",REJECT
"Civil construction site supervision AutoCAD surveying building materials",REJECT
"Mechanical production manufacturing CNC machining quality control maintenance",REJECT
"Electrical maintenance power distribution wiring industrial equipment safety",REJECT
"Marketing SEO email campaigns social media analytics advertising",REJECT
"Hospital administration patient records scheduling healthcare operations",REJECT
"Pharmacy clinical trials drug safety medication counseling pharmacology",REJECT
"Biology molecular biology genetics laboratory experiments research",REJECT
"Architecture Revit AutoCAD structural drawings building planning design",REJECT
"Teacher mathematics classroom instruction curriculum development student assessment",REJECT
"Sales retail customer service product promotion negotiation business development",REJECT
"Legal contracts compliance legal research case documentation litigation",REJECT
"Hospitality hotel front office reservations housekeeping guest services tourism",REJECT
"Photography event photography camera operation lighting photo editing",REJECT
